Title,Author,State,District,Date,Ban Status,lat,lon,year
Masked,"McClintock, Norah",Texas,Granbury Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
Masked,"McClintock, Norah",Texas,North East Independent School District,2021-12-01,Banned in Libraries,31.054487,-97.563461,2021.0
Sold,"McCormick, Patricia",Florida,Brevard Public Schools,2022-03-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Sold,"McCormick, Patricia",Florida,Indian River County School District,2021-11-01,Banned Pending Investigation,27.766279,-81.686783,2021.0
Sold,"McCormick, Patricia",Florida,Sarasota County School,2022-05-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2022.0
Sold,"McCormick, Patricia",Florida,St. Johns County School District,2022-05-01,Banned in Libraries,27.766279,-81.686783,2022.0
Sold,"McCormick, Patricia",Idaho,Nampa School District,2022-05-01,Banned in Libraries and Classrooms,44.240459,-114.478828,2022.0
Sold,"McCormick, Patricia",Michigan,Gladwin Community Schools,2022-05-01,Banned Pending Investigation,43.326618,-84.536095,2022.0
Sold,"McCormick, Patricia",Texas,Fredericksburg Independent School District,2022-03-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
The Teenage Body Book,"McCoy, Kathy",Texas,Cypress-Fairbanks Independent School District,2022-01-01,Banned in Libraries,31.054487,-97.563461,2022.0
The Teenage Body Book,"McCoy, Kathy",Texas,North East Independent School District,2021-12-01,Banned in Libraries,31.054487,-97.563461,2021.0
Indestructible Object,"McCoy, Mary",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Blood Water Paint,"McCullough, Joy",Florida,Indian River County School District,2021-11-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2021.0
Hands Up!,"McDaniel, Breanna J.",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
What Was the Underground Railroad? (What was...? Series),"McDonough, Yona Zeldis",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Synchro Boy,"McFerran, Shannon",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Come with Me,"McGhee, Holly M.",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Heroine,"McGinnis, Mindy",Missouri,Rockwood School District,2021-10-01,Banned Pending Investigation,38.456085,-92.288368,2021.0
Every Heart a Doorway (Seanan McGuire Series),"McGuire, Seanan",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
"Black Software: The Internet & Racial Justice, from the Afronet to Black Lives Matter","McIlwain, Charlton D.",Florida,Indian River County School District,2021-11-01,Banned in Libraries and Classrooms,27.766279,-81.686783,2021.0
Gender Issues (Living with a Special Need),"McIntosh, Kenneth",Texas,North East Independent School District,2021-12-01,Banned in Libraries,31.054487,-97.563461,2021.0
Lulu and the Duck in the Park (Lulu Series),"McKay, Hilary",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
On the Other Side of Freedom: The Case for Hope,"Mckesson, DeRay",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Blanca & Roja,"McLemore, Anna-Marie",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
Dark and Deepest Red,"McLemore, Anna-Marie",Tennessee,Collierville Schools,2022-02-01,Banned Pending Investigation,35.747845,-86.692345,2022.0
When the Moon Was Ours,"McLemore, Anna-Marie",Texas,Granbury Independent School District,2022-01-01,Banned Pending Investigation,31.054487,-97.563461,2022.0
When the Moon Was Ours,"McLemore, Anna-Marie",Texas,North East Independent School District,2021-12-01,Banned Pending Investigation,31.054487,-97.563461,2021.0
Indian No More,"McManis, Charlene Willing",Florida,Duval County Public Schools,2022-01-01,Banned Pending Investigation,27.766279,-81.686783,2022.0
Indian No More,"McManis, Charlene Willing",Pennsylvania,Central York School District,2021-08-01,Banned in Classrooms,40.590752,-77.209755,2021.0
Fade (Wake Series),"McMann, Lisa",Michigan,Gladwin Community Schools,2022-05-01,Banned Pending Investigation,43.326618,-84.536095,2022.0
